Order_ID,Order_Date,Region,Category,Segment,Product,Quantity,Unit_Price,Discount,Cost_Ratio,Sales,Cost,Profit,Profit_Margin,Month,Year
1001,2025-05-10,East,Office Supplies,Consumer,Desk,8,1808,0.04,0.68,13885.439999999999,9442.0992,4443.340799999998,0.3199999999999999,2025-05,2025
1002,2033-04-30,North,Furniture,Consumer,Chair,4,456,0.2,0.47,1459.2,685.824,773.3760000000001,0.53,2033-04,2033
1003,2031-06-20,North,Technology,Consumer,Monitor,2,1578,0.09,0.55,2871.96,1579.5780000000002,1292.3819999999998,0.44999999999999996,2031-06,2031
1004,2024-04-11,East,Technology,Consumer,Desk,8,500,0.23,0.54,3080.0,1663.2,1416.8,0.45999999999999996,2024-04,2024
1005,2035-02-13,West,Furniture,Home Office,Storage,7,995,0.07,0.48,6477.45,3109.176,3368.274,0.52,2035-02,2035
1006,2032-06-06,West,Technology,Corporate,Phone,9,1682,0.21,0.56,11959.02,6697.051200000001,5261.9688,0.43999999999999995,2032-06,2032
1007,2031-09-07,North,Technology,Home Office,Chair,2,1089,0.09,0.54,1981.98,1070.2692000000002,911.7107999999998,0.4599999999999999,2031-09,2031
1008,2030-12-29,East,Furniture,Consumer,Chair,5,808,0.0,0.64,4040.0,2585.6,1454.4,0.36000000000000004,2030-12,2030
1009,2023-05-11,West,Technology,Corporate,Chair,6,1578,0.19,0.71,7669.080000000001,5445.0468,2224.0332000000008,0.2900000000000001,2023-05,2023
1010,2027-08-13,North,Technology,Consumer,Storage,2,1157,0.03,0.59,2244.58,1324.3021999999999,920.2778000000001,0.41000000000000003,2027-08,2027
1011,2025-02-08,South,Furniture,Corporate,Laptop,2,1889,0.2,0.67,3022.4,2025.0080000000003,997.3919999999998,0.32999999999999996,2025-02,2025
1012,2029-07-19,East,Office Supplies,Home Office,Printer,4,347,0.28,0.49,999.36,489.6864,509.6736,0.51,2029-07,2029
1013,2029-08-30,South,Furniture,Corporate,Chair,8,1045,0.29,0.72,5935.599999999999,4273.632,1661.9679999999998,0.28,2029-08,2029
1014,2026-03-30,South,Technology,Consumer,Chair,5,141,0.07,0.5,655.65,327.825,327.825,0.5,2026-03,2026
1015,2035-06-22,West,Furniture,Corporate,Paper,9,900,0.24,0.51,6156.0,3139.56,3016.44,0.49,2035-06,2035
1016,2032-04-08,West,Technology,Corporate,Paper,4,222,0.11,0.48,790.32,379.35360000000003,410.9664,0.52,2032-04,2032
1017,2034-04-10,West,Technology,Home Office,Laptop,3,126,0.27,0.54,275.94,149.0076,126.9324,0.46,2034-04,2034
1018,2036-04-05,East,Furniture,Consumer,Laptop,8,1585,0.24,0.62,9636.8,5974.816,3661.9839999999995,0.37999999999999995,2036-04,2036
1019,2030-12-14,South,Technology,Corporate,Phone,1,670,0.02,0.75,656.6,492.45000000000005,164.14999999999998,0.24999999999999994,2030-12,2030
1020,2024-04-19,East,Office Supplies,Home Office,Desk,9,1270,0.12,0.69,10058.4,6940.295999999999,3118.1040000000003,0.31000000000000005,2024-04,2024
1021,2025-12-18,West,Technology,Corporate,Chair,4,595,0.1,0.56,2142.0,1199.5200000000002,942.4799999999998,0.4399999999999999,2025-12,2025
1022,2030-01-02,South,Furniture,Consumer,Desk,9,1750,0.24,0.62,11970.0,7421.4,4548.6,0.38,2030-01,2030
1023,2028-08-09,East,Office Supplies,Corporate,Monitor,8,585,0.12,0.64,4118.4,2635.776,1482.6239999999998,0.36,2028-08,2028
1024,2030-07-10,East,Office Supplies,Corporate,Laptop,3,1583,0.21,0.7,3751.71,2626.1969999999997,1125.5130000000004,0.3000000000000001,2030-07,2030
1025,2025-09-02,North,Technology,Corporate,Laptop,3,998,0.18,0.67,2455.0800000000004,1644.9036000000003,810.1764000000001,0.32999999999999996,2025-09,2025
1026,2027-12-12,East,Furniture,Corporate,Phone,9,810,0.29,0.62,5175.9,3209.0579999999995,1966.842,0.38000000000000006,2027-12,2027
1027,2023-07-09,West,Technology,Consumer,Printer,3,1251,0.28,0.65,2702.16,1756.404,945.7559999999999,0.35,2023-07,2023
1028,2030-06-27,East,Technology,Home Office,Storage,4,475,0.13,0.67,1653.0,1107.51,545.49,0.33,2030-06,2030
1029,2031-03-25,South,Furniture,Home Office,Storage,9,764,0.22,0.49,5363.28,2628.0072,2735.2727999999997,0.51,2031-03,2031
1030,2035-10-03,East,Furniture,Corporate,Storage,4,882,0.25,0.51,2646.0,1349.46,1296.54,0.49,2035-10,2035
1031,2028-03-14,North,Technology,Consumer,Laptop,3,950,0.27,0.66,2080.5,1373.13,707.3699999999999,0.33999999999999997,2028-03,2028
1032,2026-06-21,South,Office Supplies,Consumer,Chair,7,1206,0.02,0.71,8273.16,5873.9436,2399.2164000000002,0.29000000000000004,2026-06,2026
1033,2027-03-09,South,Technology,Consumer,Paper,6,1658,0.09,0.57,9052.68,5160.027599999999,3892.652400000001,0.4300000000000001,2027-03,2027
1034,2031-10-08,North,Office Supplies,Consumer,Phone,1,1646,0.1,0.74,1481.4,1096.236,385.164,0.25999999999999995,2031-10,2031
1035,2032-09-26,West,Technology,Consumer,Printer,8,1822,0.13,0.51,12681.12,6467.3712000000005,6213.7488,0.49,2032-09,2032
1036,2033-08-26,South,Furniture,Consumer,Monitor,1,1751,0.05,0.58,1663.4499999999998,964.8009999999998,698.649,0.42000000000000004,2033-08,2033
