Month,Region,Category,Segment,Sales,Profit,Quantity,Orders
2023-01,East,Furniture,Consumer,4645.2,2322.6,5,1
2023-01,East,Furniture,Home Office,3996.0,1298.1456,6,2
2023-01,East,Office Supplies,Consumer,5275.080000000001,2642.7960000000003,9,2
2023-01,East,Technology,Home Office,4514.97,1444.7903999999999,3,1
2023-01,North,Furniture,Corporate,9244.58,4166.0268,8,2
2023-01,North,Furniture,Home Office,540.32,232.33760000000007,1,1
2023-01,North,Office Supplies,Consumer,20718.79,7108.6,16,3
2023-01,North,Office Supplies,Corporate,9920.92,4461.648,10,2
2023-01,North,Office Supplies,Home Office,7655.92,3521.7231999999995,8,1
2023-01,North,Technology,Corporate,2653.35,1300.1415,7,1
2023-01,North,Technology,Home Office,5112.68,2537.708,9,2
2023-01,South,Furniture,Consumer,1935.1499999999999,541.8420000000001,5,1
2023-01,South,Furniture,Corporate,6503.88,2341.3967999999995,6,1
2023-01,South,Office Supplies,Corporate,1960.3000000000002,946.2030000000001,9,2
2023-01,South,Technology,Corporate,13778.8,6022.564,17,2
2023-01,South,Technology,Home Office,4329.0,1558.44,6,1
2023-01,West,Furniture,Consumer,3367.98,1683.99,3,1
2023-01,West,Furniture,Corporate,10353.26,4649.8084,9,2
2023-01,West,Office Supplies,Consumer,5080.32,1524.096,6,1
2023-01,West,Office Supplies,Corporate,2697.0,836.0700000000002,5,1
2023-01,West,Technology,Corporate,5447.52,2070.0576,9,1
2023-01,West,Technology,Home Office,375.84,199.1952,2,1
2023-02,East,Furniture,Corporate,8440.89,3932.1035999999995,17,2
2023-02,East,Furniture,Home Office,966.24,241.55999999999995,2,1
2023-02,East,Office Supplies,Home Office,9649.02,2989.4376,14,2
2023-02,East,Technology,Consumer,4378.62,1311.1817999999998,9,2
2023-02,North,Furniture,Consumer,4163.400000000001,1665.3600000000001,6,1
2023-02,North,Technology,Consumer,1115.73,569.0223,3,1
2023-02,North,Technology,Home Office,3743.4,1889.7851999999998,12,2
2023-02,South,Office Supplies,Consumer,3086.48,864.2144000000003,2,1
2023-02,South,Office Supplies,Corporate,1035.1799999999998,476.18279999999993,3,1
2023-02,South,Technology,Home Office,1062.72,382.5792,1,1
2023-02,West,Furniture,Consumer,2525.1,934.287,3,1
2023-02,West,Furniture,Home Office,4947.72,1503.9528,7,2
2023-02,West,Office Supplies,Consumer,1538.16,753.6984,4,1
2023-02,West,Office Supplies,Home Office,1641.6000000000001,640.224,9,1
2023-02,West,Technology,Consumer,4007.88,1923.7824,4,1
2023-02,West,Technology,Corporate,2946.2400000000002,1237.4208000000003,6,1
2023-03,East,Furniture,Corporate,828.3399999999999,347.9028,2,1
2023-03,East,Office Supplies,Consumer,2520.8,705.8240000000001,2,1
2023-03,East,Office Supplies,Home Office,3055.8399999999997,1008.4271999999999,4,1
2023-03,East,Technology,Consumer,6752.4,1755.6239999999998,4,1
2023-03,East,Technology,Home Office,4340.46,1501.9194000000002,4,2
2023-03,North,Furniture,Consumer,2730.48,819.1440000000002,4,1
2023-03,North,Furniture,Home Office,11355.3,4428.567,9,1
2023-03,North,Office Supplies,Consumer,2693.92,999.7424,9,2
2023-03,North,Office Supplies,Home Office,2396.86,1198.43,2,1
2023-03,North,Technology,Corporate,4806.0,2595.24,3,1
2023-03,North,Technology,Home Office,9755.9,4877.95,7,1
2023-03,South,Furniture,Consumer,497.34000000000003,223.803,1,1
2023-03,South,Furniture,Corporate,5368.32,1957.2336,13,3
2023-03,South,Furniture,Home Office,2536.0,1242.6399999999999,2,1
2023-03,South,Office Supplies,Corporate,2088.96,668.4671999999998,8,1
2023-03,South,Office Supplies,Home Office,13539.259999999998,5840.4864,11,2
2023-03,South,Technology,Consumer,2063.8599999999997,1006.6358,6,3
2023-03,South,Technology,Home Office,6789.0,2783.4900000000002,5,1
2023-03,West,Furniture,Home Office,2275.5,705.4050000000002,2,1
2023-03,West,Technology,Home Office,1755.0,859.9499999999999,6,1
2023-04,East,Furniture,Corporate,324.7,107.15099999999998,2,1
2023-04,East,Office Supplies,Consumer,771.0,346.95,2,1
2023-04,East,Office Supplies,Corporate,3637.7999999999997,1018.5839999999998,9,1
2023-04,East,Technology,Corporate,8797.65,4574.778,5,1
2023-04,North,Furniture,Consumer,932.9399999999999,354.5172,3,1
2023-04,North,Furniture,Corporate,4829.37,1448.8110000000001,7,1
2023-04,North,Technology,Consumer,9367.88,3860.0719999999997,9,2
2023-04,North,Technology,Home Office,2798.29,1161.0594,3,2
2023-04,South,Furniture,Corporate,2177.04,587.8008,3,1
2023-04,South,Furniture,Home Office,1892.8799999999999,851.7959999999998,8,1
2023-04,South,Office Supplies,Home Office,3340.8,868.6080000000002,3,1
2023-04,South,Technology,Consumer,6990.219999999999,2636.4016,9,2
