Order_ID,Customer_ID,Product_Category,Region,Quantity,Unit_Price,Discount,Order_Date,Gross_Sales,Discount_Amount,Net_Sales,Month,Year
1,1102,Electronics,East,4,185.0,15.0,2024-01-01,740.0,111.0,629.0,1,2024
2,1179,Furniture,East,7,3215.0,0.0,2024-01-02,22505.0,0.0,22505.0,1,2024
3,1092,Groceries,South,1,4332.0,0.0,2024-01-03,4332.0,0.0,4332.0,1,2024
4,1014,Clothing,East,7,2568.0,15.0,2024-01-04,17976.0,2696.4,15279.6,1,2024
5,1106,Electronics,South,1,3719.0,0.0,2024-01-05,3719.0,0.0,3719.0,1,2024
6,1071,Beauty,South,2,1736.0,0.0,2024-01-06,3472.0,0.0,3472.0,1,2024
7,1188,Furniture,South,4,3683.0,0.0,2024-01-07,14732.0,0.0,14732.0,1,2024
8,1020,Clothing,South,1,4109.0,0.0,2024-01-08,4109.0,0.0,4109.0,1,2024
9,1102,Clothing,North,9,3426.0,5.0,2024-01-09,30834.0,1541.7,29292.3,1,2024
10,1121,Groceries,South,6,2318.0,5.0,2024-01-10,13908.0,695.4,13212.6,1,2024
11,1074,Groceries,West,1,2317.0,10.0,2024-01-11,2317.0,231.7,2085.3,1,2024
12,1087,Beauty,East,1,2469.0,0.0,2024-01-12,2469.0,0.0,2469.0,1,2024
13,1116,Beauty,West,6,3738.0,10.0,2024-01-13,22428.0,2242.8,20185.2,1,2024
14,1099,Electronics,North,4,2603.0,5.0,2024-01-14,10412.0,520.6,9891.4,1,2024
15,1103,Electronics,West,4,1043.0,10.0,2024-01-15,4172.0,417.2,3754.8,1,2024
16,1151,Beauty,East,6,2937.0,0.0,2024-01-16,17622.0,0.0,17622.0,1,2024
17,1130,Beauty,West,7,2760.0,0.0,2024-01-17,19320.0,0.0,19320.0,1,2024
18,1149,Furniture,North,9,3036.0,0.0,2024-01-18,27324.0,0.0,27324.0,1,2024
19,1052,Groceries,South,5,4544.0,15.0,2024-01-19,22720.0,3408.0,19312.0,1,2024
20,1001,Electronics,West,9,4047.0,0.0,2024-01-20,36423.0,0.0,36423.0,1,2024
21,1087,Groceries,North,4,2735.0,0.0,2024-01-21,10940.0,0.0,10940.0,1,2024
22,1157,Groceries,North,2,2735.0,5.0,2024-01-22,5470.0,273.5,5196.5,1,2024
23,1037,Beauty,East,3,2735.0,5.0,2024-01-23,8205.0,410.25,7794.75,1,2024
24,1129,Furniture,East,1,2735.0,0.0,2024-01-24,2735.0,0.0,2735.0,1,2024
25,1191,Clothing,West,6,2735.0,0.0,2024-01-25,16410.0,0.0,16410.0,1,2024
26,1187,Furniture,South,6,2735.0,5.0,2024-01-26,16410.0,820.5,15589.5,1,2024
27,1020,Furniture,North,1,2735.0,0.0,2024-01-27,2735.0,0.0,2735.0,1,2024
28,1160,Groceries,West,3,2735.0,5.0,2024-01-28,8205.0,410.25,7794.75,1,2024
29,1057,Furniture,North,5,2735.0,0.0,2024-01-29,13675.0,0.0,13675.0,1,2024
30,1021,Electronics,North,3,2735.0,10.0,2024-01-30,8205.0,820.5,7384.5,1,2024
31,1088,Groceries,South,3,2735.0,0.0,2024-01-31,8205.0,0.0,8205.0,1,2024
32,1048,Electronics,South,3,4522.0,0.0,2024-02-01,13566.0,0.0,13566.0,2,2024
33,1058,Clothing,West,5,3924.0,0.0,2024-02-02,19620.0,0.0,19620.0,2,2024
34,1169,Groceries,South,5,4006.0,10.0,2024-02-03,20030.0,2003.0,18027.0,2,2024
35,1187,Clothing,South,4,1079.0,15.0,2024-02-04,4316.0,647.4,3668.6,2,2024
36,1014,Groceries,West,1,2551.0,0.0,2024-02-05,2551.0,0.0,2551.0,2,2024
37,1189,Beauty,South,5,728.0,15.0,2024-02-06,3640.0,546.0,3094.0,2,2024
38,1189,Furniture,East,5,1729.0,5.0,2024-02-07,8645.0,432.25,8212.75,2,2024
39,1174,Beauty,North,4,3796.0,15.0,2024-02-08,15184.0,2277.6,12906.4,2,2024
40,1189,Clothing,North,6,3530.0,0.0,2024-02-09,21180.0,0.0,21180.0,2,2024
41,1050,Furniture,North,4,3774.0,15.0,2024-02-10,15096.0,2264.4,12831.6,2,2024
42,1107,Groceries,North,7,4029.0,0.0,2024-02-11,28203.0,0.0,28203.0,2,2024
43,1054,Furniture,West,7,2865.0,0.0,2024-02-12,20055.0,0.0,20055.0,2,2024
44,1063,Electronics,North,2,4469.0,15.0,2024-02-13,8938.0,1340.7,7597.3,2,2024
45,1130,Furniture,North,3,4880.0,0.0,2024-02-14,14640.0,0.0,14640.0,2,2024
46,1050,Electronics,North,1,215.0,0.0,2024-02-15,215.0,0.0,215.0,2,2024
47,1134,Furniture,North,8,2103.0,15.0,2024-02-16,16824.0,2523.6,14300.4,2,2024
48,1020,Electronics,East,9,792.0,10.0,2024-02-17,7128.0,712.8,6415.2,2,2024
49,1072,Clothing,North,4,3262.0,10.0,2024-02-18,13048.0,1304.8,11743.2,2,2024
50,1166,Beauty,East,6,1205.0,5.0,2024-02-19,7230.0,361.5,6868.5,2,2024
51,1017,Unknown,West,9,3108.0,0.0,2024-02-20,27972.0,0.0,27972.0,2,2024
52,1131,Unknown,South,6,2261.0,15.0,2024-02-21,13566.0,2034.9,11531.1,2,2024
53,1088,Unknown,North,9,253.0,0.0,2024-02-22,2277.0,0.0,2277.0,2,2024
54,1059,Unknown,South,4,3799.0,0.0,2024-02-23,15196.0,0.0,15196.0,2,2024
55,1013,Unknown,South,8,4510.0,0.0,2024-02-24,36080.0,0.0,36080.0,2,2024
56,1008,Unknown,West,9,3886.0,0.0,2024-02-25,34974.0,0.0,34974.0,2,2024
57,1089,Clothing,South,4,1164.0,10.0,2024-02-26,4656.0,465.6,4190.4,2,2024
58,1052,Clothing,East,5,4300.0,15.0,2024-02-27,21500.0,3225.0,18275.0,2,2024
59,1129,Beauty,South,8,2013.0,0.0,2024-02-28,16104.0,0.0,16104.0,2,2024
60,1083,Clothing,South,6,1316.0,10.0,2024-02-29,7896.0,789.6,7106.4,2,2024
61,1091,Furniture,South,7,2501.0,5.0,2024-03-01,17507.0,875.35,16631.65,3,2024
62,1110,Clothing,North,3,1872.0,10.0,2024-03-02,5616.0,561.6,5054.4,3,2024
63,1187,Beauty,North,7,2060.0,10.0,2024-03-03,14420.0,1442.0,12978.0,3,2024
64,1198,Clothing,East,8,2880.0,10.0,2024-03-04,23040.0,2304.0,20736.0,3,2024
65,1171,Furniture,East,6,4904.0,0.0,2024-03-05,29424.0,0.0,29424.0,3,2024
