Customer_ID,Age,Gender,Region,Income_Level,Total_Spend,Purchase_Frequency,Last_Purchase_Days,Retained,Segment
1,56,Male,North,Medium,5584,2,319,1,Low Value
2,46,Male,South,Medium,17161,5,211,1,Low Value
3,32,Male,East,Low,14007,12,152,1,Medium Value
4,60,Male,West,Medium,7559,21,109,1,Medium Value
5,25,Male,South,Medium,18771,8,76,1,Low Value
6,38,Female,East,Medium,13271,6,30,0,Low Value
7,56,Male,East,High,18149,8,314,1,Low Value
8,36,Male,West,High,7991,18,117,0,Medium Value
9,40,Male,North,Low,15027,3,356,1,Low Value
10,28,Female,North,Low,17924,22,192,0,High Value
11,28,Female,South,High,15359,12,19,1,Medium Value
12,41,Male,West,High,8573,3,173,1,Low Value
13,53,Female,North,High,9577,22,228,1,Medium Value
14,57,Male,West,Medium,19636,6,350,1,Low Value
15,41,Male,North,Medium,11883,2,183,1,Low Value
16,20,Female,East,High,16878,23,113,0,High Value
17,39,Male,North,Medium,2853,12,183,1,Low Value
18,19,Female,West,Medium,5299,2,146,1,Low Value
19,41,Female,East,Low,17570,6,319,0,Low Value
20,61,Male,East,High,12439,17,116,0,Medium Value
21,47,Male,East,High,2928,3,113,1,Low Value
22,55,Female,West,Medium,11796,2,251,1,Low Value
23,19,Male,South,High,8313,23,251,1,Medium Value
24,38,Male,South,Low,14914,20,303,1,High Value
25,50,Male,South,Low,12301,8,313,1,Low Value
26,29,Female,West,Low,12245,22,118,0,Medium Value
27,39,Female,East,High,13525,12,301,0,Medium Value
28,61,Male,South,High,3856,4,161,0,Low Value
29,42,Female,West,High,14788,5,198,1,Low Value
30,44,Female,South,High,7040,13,260,1,Medium Value
31,59,Female,North,High,16922,15,148,0,Medium Value
32,45,Female,South,Low,3842,23,240,1,Low Value
33,33,Female,South,Medium,9578,16,47,0,Medium Value
34,32,Male,East,Low,3344,10,198,1,Low Value
35,64,Male,West,High,10896,23,47,1,Medium Value
36,61,Male,East,Low,17982,16,78,0,High Value
37,20,Female,East,High,18707,12,124,1,Medium Value
