Campaign_ID,Channel,Campaign_Cost,Leads,Conversions,Revenue,Conversion_Rate_%,Campaign_ROI_%
1,Email,45372,9711,192,217849,1.9771393265369168,380.1397337565018
2,Social Media,23642,4212,185,69710,4.392212725546059,194.85661111581086
3,Google Ads,48001,3409,1167,158714,34.23291287767674,230.64727818170456
4,TV,54064,9199,236,205604,2.565496249592347,280.29742527374964
5,Influencer,34122,4423,520,178727,11.756726203933981,423.78817185393586
6,Email,44820,7976,173,199673,2.1690070210631895,345.4997768853191
7,Social Media,88431,8594,1671,113227,19.443797998603678,28.039940744761456
8,Google Ads,75745,6158,1736,186039,28.1909710945112,145.6122516337712
9,TV,70081,4667,1635,134289,35.033211913434755,91.61969720751702
10,Influencer,90902,6973,1279,201094,18.342176968306326,121.22065521110648
