date,region,category,quarter,day_of_week,is_weekend,marketing_spend,discount_pct,units_sold,unit_price,revenue,cost,profit,customer_satisfaction
2023-01-01,North,Electronics,1,6,1,2698.69,11.31,238,510.92,121599.24,71728.26,49870.99,4.23
2023-01-01,North,Furniture,1,6,1,2204.21,9.1,180,247.66,44578.28,28062.43,16515.85,4.38
2023-01-01,North,Office Supplies,1,6,1,1394.87,13.57,152,58.19,8845.46,5430.62,3414.84,4.83
2023-01-01,South,Electronics,1,6,1,2657.69,12.61,205,425.99,87327.92,57184.58,30143.33,4.02
2023-01-01,South,Furniture,1,6,1,1794.6,6.71,169,287.31,48555.43,32674.93,15880.5,4.17
2023-01-01,South,Office Supplies,1,6,1,2152.7,6.95,119,49.23,5857.96,3938.06,1919.9,3.9
2023-01-01,East,Electronics,1,6,1,2629.63,10.07,210,474.47,99638.08,70854.23,28783.85,4.1
2023-01-01,East,Furniture,1,6,1,1550.61,4.46,175,265.64,46486.4,32000.53,14485.87,3.87
2023-01-01,East,Office Supplies,1,6,1,1771.2,17.02,173,72.3,12508.64,8894.45,3614.19,5.0
2023-01-01,West,Electronics,1,6,1,2131.84,10.01,228,393.25,89661.0,55803.18,33857.81,4.15
2023-01-01,West,Furniture,1,6,1,2391.16,9.41,184,312.04,57415.19,41145.12,16270.07,4.49
2023-01-01,West,Office Supplies,1,6,1,1870.22,10.45,171,70.19,12002.47,8717.68,3284.78,4.08
2023-01-02,North,Electronics,1,0,0,2502.05,10.83,185,433.17,80137.22,59325.16,20812.07,4.26
2023-01-02,North,Furniture,1,0,0,991.07,7.28,167,221.43,36978.37,21679.34,15299.03,3.92
2023-01-02,North,Office Supplies,1,0,0,1824.09,24.32,174,50.65,8813.2,6588.4,2224.8,4.53
2023-01-02,South,Electronics,1,0,0,2040.08,8.12,182,417.93,76062.69,51044.28,25018.41,4.53
2023-01-02,South,Furniture,1,0,0,1403.79,9.17,145,225.73,32730.38,22573.47,10156.91,4.33
2023-01-02,South,Office Supplies,1,0,0,1434.12,15.1,136,57.15,7771.86,5379.66,2392.2,4.39
2023-01-02,East,Electronics,1,0,0,2590.98,18.54,195,457.39,89190.14,56870.76,32319.38,4.61
2023-01-02,East,Furniture,1,0,0,1453.14,15.09,183,309.66,56667.61,39532.58,17135.03,3.95
2023-01-02,East,Office Supplies,1,0,0,1323.48,15.28,133,53.43,7106.79,4906.8,2200.0,4.36
2023-01-02,West,Electronics,1,0,0,2876.21,7.66,204,395.21,80621.85,55410.88,25210.97,4.12
2023-01-02,West,Furniture,1,0,0,1805.2,19.27,189,301.9,57058.79,35817.59,21241.2,4.3
2023-01-02,West,Office Supplies,1,0,0,1745.09,11.38,156,68.36,10664.87,6760.21,3904.66,4.13
2023-01-03,North,Electronics,1,1,0,2585.64,5.77,192,465.41,89359.24,61170.98,28188.26,4.42
2023-01-03,North,Furniture,1,1,0,1820.54,16.36,193,328.37,63375.44,45485.78,17889.67,4.11
2023-01-03,North,Office Supplies,1,1,0,2006.02,30.0,199,65.21,12977.01,9490.1,3486.91,4.11
2023-01-03,South,Electronics,1,1,0,1899.69,12.83,173,448.41,77575.72,52785.75,24789.97,4.32
2023-01-03,South,Furniture,1,1,0,1611.23,17.44,167,254.96,42579.05,29204.6,13374.45,4.87
2023-01-03,South,Office Supplies,1,1,0,2537.37,18.82,167,68.38,11420.15,7149.49,4270.66,4.13
2023-01-03,East,Electronics,1,1,0,2182.99,11.43,199,484.63,96441.41,58500.81,37940.6,4.29
2023-01-03,East,Furniture,1,1,0,1155.11,16.73,185,337.8,62492.5,38877.47,23615.02,4.73
2023-01-03,East,Office Supplies,1,1,0,2306.76,8.46,142,59.52,8452.38,5608.78,2843.59,3.86
2023-01-03,West,Electronics,1,1,0,2457.95,2.03,169,511.72,86481.14,59360.32,27120.81,4.0
2023-01-03,West,Furniture,1,1,0,2265.27,12.05,166,286.97,47636.54,27843.89,19792.65,4.38
2023-01-03,West,Office Supplies,1,1,0,1850.44,2.51,141,65.49,9234.77,5962.31,3272.45,4.14
2023-01-04,North,Electronics,1,2,0,2612.4,8.89,195,430.28,83904.59,50350.14,33554.45,4.43
2023-01-04,North,Furniture,1,2,0,2381.02,13.81,186,310.69,57787.67,41443.12,16344.56,4.06
2023-01-04,North,Office Supplies,1,2,0,1791.64,12.59,162,58.38,9457.96,6865.82,2592.14,4.61
2023-01-04,South,Electronics,1,2,0,2324.19,9.96,183,450.49,82438.91,60364.98,22073.93,4.44
2023-01-04,South,Furniture,1,2,0,1929.67,11.35,155,251.36,38961.15,24539.52,14421.63,4.51
2023-01-04,South,Office Supplies,1,2,0,1321.34,15.85,147,43.28,6362.14,4650.15,1711.99,4.7
