Month,Advertising_Spend,Discount_Percentage,Website_Visitors,Sales
1,25795,20,10226,144612.5
2,10860,19,5152,108227.0
3,48158,19,12147,200887.0
4,21284,23,3585,123134.0
5,16265,16,5943,119554.5
6,26850,24,9555,153626.0
7,47194,7,5073,148054.0
8,31962,9,3021,118035.0
9,26023,23,13653,166522.5
10,11685,11,12805,140393.5
11,10769,13,5843,111573.5
12,12433,11,9989,128021.5
13,15311,22,11692,144140.5
14,47819,8,14990,183856.5
15,49188,18,8873,172901.0
16,27568,22,7675,141147.0
17,29769,13,2161,124319.5
18,38693,6,6297,135685.5
19,16396,24,12173,148822.0
20,37480,19,2995,131391.0
21,35658,11,13534,174809.0
22,28942,16,14743,174251.0
23,28431,12,9629,141454.5
24,12747,19,13990,141441.5
